text,label
"Ummm...Hello???  McFly??? Anyone home???

What is conveniently missing is the context in which the president made that statement.  Obviously he was being facetious in this instance if one were to watch the video clip when he said that.  But, of course it is all the libtard left can do, is to keep spinning and spinning and spinning.  

Even the idiot Shumer speaks without knowing all the facts.  Again, nothing knew.  Libtards rely on emotion and factless information.",1
"The SA should have come up with a better headline as it is stupid.  It is saying that PEOPLE WANT SOMETHING BUT DON'T WANT TO PAY FOR IT.  Geezh!   And did anyone notice that NITR008 is reacting ""disagree"" on everyone's post?  What a dork that person is because no substance by not stating his/her views.  Person must be one of those ""uniformed"" voters.",1
"While there were certainly issues with Clinton, to call her corrupt and a liar without recognizing the blatant ignorant untruths uttered by Trump is the height of partisan self delusion.",1
Brilliant.,0
"To say what you said, and mean it.  Remember Dishing it Out is okay as long as you can take it.  President Trump is good at dishing it out but he cannot take it, proven over and over again.  You remind me of a lady who is involved with the homeless and calls everyone who does not agree with her an ignorant person.",0
"Now you're going back to 1980 for your anti-semitic fodder, kagan0vitch?",1
"i can't even look at pictures of Schatz without retching.  He's a slimy, pandering imbecile.  If Republicans said the things he's said he would probably explode with indignation.  He has no respect for people with other opinions.  He is a supremely prejudiced leach on the public.",1
Jail with solitary confinement.,0
"Was it not Obama who stated during the election that only an idiot would think that the US electoral system could be compromised?  Look like Obama was in fact talking about himself.

Too funny.",1
"And to think this all could have been avoided by not  purposelessly and arrogantly irritating small business owners, farmers, doctors and fishermen. They have been hoist on their own petard.",0
"I would hope that ""Southern Heritage"" is not contingent on the Confederacy. There's so much more to be proud of than that one thing.  By the way, is there such a thing as Northern Heritage?",0
"My conclusion: the gods favour dictators with a loooooooong life, looting and enriching themselves on the backs of the poor and illiterate",0
"Ugh, I can't stand Bud Light, it's what I pee out after I drink good beer, but their advertising department did a great job of coming up with a freaking addictive catch phrase. Dilly Dilly indeed! :)",1
Did you post this comment from a mental hospital?,1
"I doubt the government would make a 'ton of money' by regulating legal distribution given the costs that will still arise from opioid addiction (the same for alchohol and tobacco) but I do agree that removing the trade from the criminal element would decrease he social costs (theft, violence, policing, etc.)",0
"OMG! Ha Ha Ha now that is funny..."" Second, let’s not be naive in thinking the sky is falling;"" Try telling that one to the Democrats and their ""Pink Pussy Hat"" drama queens.",1
another Liberal zombie. Harper was great compared to this clown.,1
"It's a stupid way to build, they have to clear cut the land, 32 acres in Vince Estates case, to get 4 houses and septic tanks on a 1 acre lot. They are manufactured houses, ugly, no architectural differentiation. You can buy them cheap pretty soon. When rents drop more and vacancies increase the bank will be selling them for a lot less, be patient .....",1
Are you kidding me?,0
It would be easier to accept the presidency of a corrupt maniac if he weren't so dumb.,1
"Heck, all they need is a hurricane and you'll see all the looters come out...! And what is the color of their skin? Let's not get PC about the truth. Why doesn't Obama, Jackson, Sharpton, and other leaders of the black community say anything about these thugs who cause property damage and mayhem...? Only one reason... they are of the same color... That folks is racism... And they practice it openly and the left wing media will not touch it...",1
"Just another peice of trash demanding to be seen ""right now"" ..   looking for bucks as the daughters taping of the scene validates.. good for you doc!!! Enough of bending over backwards for social parasites!!!",1
"Why does Islamophobia exist? Four reasons: 

1. While many Muslims are nice people, invite 20 million to come here, and Canada will be a Muslim society with a Muslim government. Some Canadians ask themselves: Do we want to live in a society similar to those in the Middle East? Also, long before Canada has 20 million Muslims, there will be attempts to change our society, such as demands for Sharia law. 

2. The violent conflicts between Muslim groups in the Middle East are well known. Do we want to import those conflicts into Canada? 

3. Many Canadians from Europe are familiar with the ""white slave trade"". Between 1600 and 1830, 2.6 million white girls and boys were kidnapped and sold in the Middle East slave markets to serve as labourers, domestics and sex slaves in harems. The Barbary pirates in North Africa sailed as far north as Ireland & Iceland to kidnap white children. (continued below)",1
Trump has always had issues with the truth so we need good investigative journalism now more than ever. I am currently reading a book entitled: The Making of Donald trump by David Cay Johnston. It should be mandatory reading for all americans. It will knock your socks off.,0
"No debate necessary. Shoot , shovel, and shut up. Done it before will do it again no matter what any beerocrat or pig worshiper says.",1
"bye bye criminal illegal, bus is ready and waiting, enjoy living back at the garbage dump (mexico).",1
"So witty. You thought that up all by yourself? Definition of Homer:  One would typically refer to someone as a ""Homer"" when they have done or said something that is totally moronic.  You're a character in The Simpsons.  HA!HA! HA! HO! HO! HO!",1
And yet Trump's whore wife violated the terms of her visa and has suffered no consequences.  I guess it still matters who's dick you suck in America!,1
Greg - we all know that the only anc politicians that are jailed are the ones that steal from funds that are already stolen and allocated to cadres kitty .,0
Cannabis is non addictive you should do some research before you show everyone your Ass.,1
"How does this make any sense to anyone living in Ontario?
How do they continue to vote for that party?
Do they think that miracle bunnies and unicorns are going to come and make everything wonderful?
What an absolute mess!!",0
"lowlyrepub, that is exactly Trump and his supporters' plan.  Hide here behind our walls, immigration policies, tell each other how scary it is out there. 

A bunch of sniveling cowards, IMO.",1
That's two words I never expect to see together -- Boots and right. LOL,0
You seem a bit of a bully yourself ...,1
"She has very little talent, nobody would be talking about her in 100 years based on her talent. Sick way to get attention",1
"My point was that as much as you dismiss Springsteen, or think that you should be able to give him input on his songwriting to have his songs better represent fast food workers, a tiny drop of piss dribbled out of him this morning that's more credible than you in the music industry. He was considered a talented up and coming artist in the early 1970's, he's made top ten records that covered un-coverable independent bands, he wrote for Patti Smith when you were in diapers. 

Have some goddamn respect. 

The reason you look like such a childish person right now is that you are trying to hand-wave away Springsteen's 40 year career as a well-respected, credible, honest, and down to Earth musician, and the only reasons you've given amount to ""he's white, he's got a bunch of money, he doesn't write song about Subway, and he wears jeans"". This is the guy that wrote Tougher Than the Rest, chump. 

You know what Kane West would call you, Martin? A player hater. Don't hate, Cizzy, ameliorate.",0
"How impolite but linguistly correct can you get.
Not only insulting but an affront to common decency.

And a response that could only come from a very dumb person.

But of course, that is nothing new.

Just another reason why Anglos are second class citizens in Canada..",1
"Silly girl. Such a tax would bring back the proposed coal export (aka the Gateway Pacific Terminal) terminal at Cherry Point WA, a short distance from the Canadian border.
 The construction of this new coal export terminal was blocked by the Obama administration, but no doubt Trump would approve it in a heartbeat.
i am sure the Americans would be happy to ship Canadian coal as well as their own, just as they ship Canadian propane through the nearby Ferndale, WA  terminal.",1
"When Republican leaders have responded to past killings, their response was to block sensible, useful gun control. They should not be allowed to delay effective legislation any longer. Too many days have passed, from one tragedy to the next. This is the time.

To Republicans in Congress who might feel uneasy about responding to this tragedy with laws that might prevent the next one, we offer this grim reference. Rather than responding to Sutherland Springs, act as though the legislation was responding to the mass shootings in Las Vegas, Dallas, Orlando, San Bernardino, Colorado Springs, Roseburg, Chattanooga, Charleston, Marysville, Isla Vista, Fort Hood, Santa Monica, or Sandy Hook Elementary School, to name a few.

If it is too soon to respond to Sutherland Springs, is it too soon to respond to these?
.
https://www.nytimes.com/interactive/2017/11/05/opinion/editorials/editorial-debate-gun-control.html",0
"I read the opinion given by Diann Rice of the civil service commission in ruling against Phillips. To me, it's bigoted against religion. The bias, discrimination and hostility she openly displayed..... there's no room for it on a governmental agency that's supposedly free from it. 

Reading more on the details than the MSM will reveal, it doesn't seem the case against Phillips is all that strong. Not as it's been advertised.

Apparently, there wasn't a problem selling an already made wedding cake, or other products, only a wedding cake the maker creates with his version of artistic expression.",0
"And I'm waiting for you to have the stones to admit the Liberal party just thumbed their noses at ethics by killing a bill that 99% of the public would have supported.

Hypocrite!",1
"A government that actually cared about the taxpayers, rather than increasing their personal wealth?
Yeah, I think there would be a difference.",0
"Butts does.  These talking points have worked in Ontario for over a decade.  Thing is, they are expiring in Ontario and Trudeau, although an actor and try as he might, doesn't seem as authentically slimy and sleazy as McGuinry and Wynne.",0
"If there is a God, then yes, that God is wicked for condemning those people.  However, since there is no evidence of this God's existence, it is you people trying to justify your wicked bigotry.

Am I getting across how detestable you bigots are?  You hate coloreds, you hate Muslims, you hate gays; and you want to punish and humiliate them simply for being.  If there was a real God, you would be a stench in His nostrils.",1
You proposed just that in veiled terms throughout the entire freaking thread Chroma.  Quit lying.,1
"Yes, tiny capable hands.",0
"""Foreign Affairs Minister Chrystia Freeland, Justice Minister Jody Wilson-Raybould, Environment Minister Catherine McKenna and Minister of Indigenous Services Jane Philpott.""

The cabinet ministers  that were in the Harper cabinets because of their skill sets have star quality in comparison:

Lisa Raitt, Leona Aglukkaq, Dianne Finley, Rona Ambrose, Josée Verner, Diane Ablonzy, Michele Rempel.

Not only were these women excellent in their positions,  they did not suffer under the cloud of affirmative action 

The same can be said of the Paul Martin/Jean Chretien (non-feminist)  decade of the few (token)  female  Cabinet ministers:

Anne McLellan, Sheilla Copps, Carol Bennett and floor crosser Belinda Stronach.",0
"You mean the anti-FA idiots or the supremacist idiots? Both are pretty stupid and dangerous. And there are plenty of each, though you're probably right - lots more anti-Fa idiots than supremacist idiots - latests estimate may be as high as several supremes, but millions of shrieking Lefty idiots. Yes.",1
"Taking Billions of Dollars out of the CBR to keep the lights on we lose $166,000,000 in future investment income. Because the GOP super majority cannot, will not for re-election purposes, come up with a plan to fix the fiscal mess the state goes further and further into deficit spending mode. Contrary to what Mr. Herz says in his otherwise stellar reporting  on Juneau it is the subsidies of $600,000,000 to the oil industry that effects the states budget as much as a restructuring of the PFD would do. I'm  in favor of seeing the PFD restructured but not until SB21 is revised, the ""new oil"" clause is struck and the subsidies  permanently repealed. The Governor presented a balanced plan of revenue increases and substantial spending cuts that were ignored by the legislature. As for Chenault and Meyer saying the lege is at an impasse therefore nothing can be done until the next regular session I call BS. What will be different in Jan. versus now? Just do the damn job you were elected to do.",1
"What I lament about Leaf haters on this thread is their complete inability to make reasoned judgement calls or analysis.  In the last 50 years, 17 different clubs have won the Stanley Cup.  Through some or all of that period, 13 different clubs have demonstrated complete incompetence, the Leafs being an obvious leader in that category but not the sole recipient of such a moniker.  More importantly, the ups and downs are evident by all clubs over the years.  Being able to understand the nuances of emerging improvement or not is key.  That ability is lost on the haters.

I lived in Boston 2001, 3 years before their WS win, lived in Chicago several years before their 92 final and at a different time a few years ago before the Cubs win this past year.   Knowing how to recognize the early trends of a potential winner takes reasoned judgement, something lacking by posters who lambast passionate Leaf followers.

The fools are evident by their blind hatred.  Time will decide their validity.",1
"Eagle River residents, you are better than the person who claims to represent you. Do yourselves a favor and vote her off the assembly. She is unable to take responsibility for her poor behavior. Tsk, tsk, tsk.",0
"Our authorities allowed the genocidal maniac from Sudan to escape. Are they going to jail the crazy wife of a dictator who lives next door? I think not. In typical Mugabe fashion he will complain that Zuma is trying to jail his wife to impress white people. He will say that his wife dealt with those girls the way an African woman would have done to protect her sons from parasites. So fellow South Africans, if you wake up and read that Mrs Mugabe skipped the country in the dark of the night,  be not surprised. Worse things have been allowedto slide....",1
Agreed! I thought the same thing when I saw that ad. It seems like Lance Mizumoto is trying to sabatoge the DOE from the inside... it makes sense now... he's trying to sell his bank's loan program!,0
"It's not populism compared to elitism. It's nationalist policies compared to globalist policies. If nationalistic elites were in politics, on the left or right, they would probably win seats. It's just that many elites are globalist orientated simply because that is what they have known for the last four decades. That's what people don't want. The author's of the Globe purposefully keep trying to use the wrong terminology to manipulate readers. Get it right. If you are a reader and you see the word populism used, you know you are getting misinformation from the media, yet again, more garbage media for Canadians, truly disgusting.",1
I certainly think so...  But perhaps if one is an imbecile the gun has to be held to their head with a finger on the trigger before it is considered a threat.,1
the broncos panties are showing.....   brock  brock   brock  and new offensive linemen,0
Steyer is a dumbass. There's not a snowball's chance in hell of Trump being impeached with a Republican controlled Congress. Dems would need to take total control of Congress and that ain't going to happen during Trump's presidency.,1
TL:DR still no rebuttal to Epicurus,0
nobody wants to see a troll in a swimsuit. and why punish the lifeguards? they're already busy as it is.,1
"Bwaahahahahahahhahaha!!!!!! Sorry anything Trudeau make s me laugh, been that way since 68, apologies.",0
Feminism has created the most narcissistic and materialist creatures. But yes humans are luxury loving creatures. Without luxuries then what is the point?,1
"All Trudeau had to do was not say something stupid, which he has done before, so the right posters here, including me, are grateful he didn't during the press conference.
The real work now begins, so we'll see if he's up to the task.
And I know you libs think you are the naturally governing party, but our election cycle goes every 4-years (you can look it up for some help) and he won't make it 12-years. He's already put us in deficit by 3-times his promise and reneged on many of his election promises. He's not even close to the intellectual capacity, political smarts and experience of Chretien, who didn't make it 12-years. Study your political history, fanboy.",1
James Logue craves to go back to the Obama era. The economy was turning around and conditions were much better for the average man.,0
Who in the world would want to partner with the city???? Only a fool & most developers are not fools.,1
"These people sound more twisted than the kids who killed the boy in Palmer. Again, all this over weed and stemming from more Anchorage trash. Throw the book at them all.",1
"Choy is an incompetent hanger on.  There is a big difference between thoroughly vetting a bill and legislators doing their duty and taking a stand.  Yes, our legislators lack intelligence and courage for the most part.  Whatever happened to the glory days of the Democratic Party (back in the really progressive era of the 1950's and 1960's.  That Party is gone and zombies are in charge.",0
Trump is an idiot. Anything attributed to Trump is as fake and stupid as he is. That is the only explanation required. The rest is a waste of column inches.,1
"I just don't want to pay an income tax some they can support their ""lifestyle""",0
"Um, although I think both are lacking at best, this story proves nothing about how effective either of those two questionable ideas would be.  All this story tells us is what we're doing now and have been doing isn't preventing this from happening.

Criticism of our politicians doesn't require exaggerations or fabricated stories.  They do just fine failing on their own merits.  That includes Trump, Obama, GW, Clinton, Reagan....would you like me to go on?",0
"Funny how Harper never figured out how to balance a budget in almost ten years, eh, Jeff?",0
So is the CO2 released by coal in the steel-making process less damaging than the CO2 released during the power-generation process?,0
"OMG what a lazy left wing lib loser you are, google is and you will find many many articles on this",1
Satellite is cheaper and with GCI trying to run the state instead of their business it's  starting to look better.,0
...relegate your ignorance to the sidelines if society,1
"Once ISIS is defeated the second round of fighting will start.  The Russian, Americans, Kurd's, Turks, Iranian, Israelis, Hezbollah, will all pursue their own agenda and then there is Assad,  Pity the Syrian people.",1
If the Catholic vote leans too heavily toward Trump that may be the final straw. I did not sign up to be a member of the Catholic Fascist Party.,1
Do you have a point to make?,0
"Thanks for writing about this situation. The ""punishment"" for all 3 is a disgrace! When one's salary is in the millions, what's a $100,000? nothin'  and 2 weeks suspended? mini vacation? that's not punishment. The teachable moment for the 3 as well as the regents... volunteer at a safe house, answer the crisis phone line, ride with law enforcement when they get a domestic violence call, attend training sessions to learn what domestic violence really is!!",0
Atheism and Communism are probably very GOOD for you!!  No objection from me!!  Go for it!!  Do whatever you want!!!!!!!!      Yay!!!!!!!,0
"Is this you Nick Travis posting your uncivil, stalking behavior?  Got this ADN?  Now Travis is falsely using someone else's log-in.  Ban this imbecile.",1
Kids say the darndest things....,1
"and yet you cant show he has or will do anything illegal pal, try again!  your comment here is meaningless",0
"This story is a big lie. The gas supply is fine, even in the States, just gouging plain ans simple. Expect the Globe and CTV to run this crap like this.",1
"I hope ""Rocket Man's"" nuclear missiles detonate right above your residence since you seem to be his supporter.",1
"What bothers me in this article, is the statement that large Canadian pension funds are investing in Chinese real estate. Really? I sure hope my university pension fund is staying away from this risky area.",0
And our real enemies (including the frienemies) laugh as we debate Partisan BS.,0
"Commercial big game hunters are hypocritical Takers. Their motto (its even of Simpson's website): ""Hooray for me and screw you"". But, you know what, the Alaska Board of Game is made up of the same greedy  rule manipulators.",1
Truth really hurts the Trump idolators.  Read The Best Democracy Money Can Buy; Billionaires and Ballots by Greg Palast to gain more truth to counter your gullet full of lies and deceit.,1
"Donald and Ivanka built their products on cheap international labor. Go figure, fracking hypocrites.",1
Extreme vetting of ALL Americans traveling between states...Build a Yuuuge Wall around every state...Send these American Terrorist Animals and their family and friends out of America...Some quality solutions...#MAGA,1
"This story must be totally bogus.  

I have been instructed on numerous occasions here at the R-G that marijuana usage causes no driver impairment except a happy demeanor.",0
"why the hell are we giving tax dollars that we work hard for to the aga khan guy.....so he can pretend like he's some kind of god and helping when in fact it is OUR money.  the ethics comissioner needs her head examined if she is still thinking whether this is a conflict of interest - if this isn't then nothing is.  if this was a corporation, all would be fired immediately including butthead and the other libs accompanying him on the ""family vacation"" and help ride.  how dumb does he think we are?  come on now.  the emperor has no clothes - if you havent read it, read it and this will all make sense.",1
"I bet he pulls the wings off flies, and stomps on cockroaches too.",0
"The ridiculous words being spewed by the idiotic potus matter because of his finger on the trigger, and only a simpleton would not be concerned.  Or maybe you don't care about the people of guam, south korea and japan.",1
"The self absorbed fool who destroyed the Progressive Conservative Party in Canada (reducing its power to 2 seats in the House of Commons) is now singing for his Narcissistic buddy who is currently destroying the Republican party in the USA.

These two really have much in common.

They definitely deserve each other",1
"It doesn't matter how big of an income tax or how much of cap taxing our PFD is passed this legislative session.  The problem is too much spending and giving away our oil wealth to big oil.  Big oil is grinning like a fat cat because the fiscal discussion isn't about their tax credit giveaways.  Have you or the public ever heard big oil publicly say, ""Let us help with the state's fiscal mess.""",0
Good keep them that way....easier to handle...,0
"What do you expect from the social worker in chief,  Kathy Wynne, the economic imbecile.  To her, problems are solved by throwing taxpayers' money down the toilet on any project.  Electric car subsidies are one of her worst ideas.",1
K-K-Koncerned:  Satire fails to penetrate the ossified brain of the ideologically-challenged idolator of all things Republican White Supremacist Fascism.,1
I moved up from California. Why on earth do we try and compete with their stupidity?,1
"When she said ""get back in"" there ceased to be anything involuntary about it - she was a nasty and controlling piece of work who deliberately bullied her boyfriend to death.",0
Everyone should vote for Hillary.,0
Which version of that would you hope to hear?,0
I feel your pain but you were given the gears by these idiots because they suspect that white males may be expressing their free speech rights about employment equity programs and many other issues that single them out for discrimination.  They want to see if they can seize your computer etc. under that pre-text and charge you with something or get one of those Human Rights Commissions involved to cause you untold grief. Make no mistake about it under Trudeau's Canada you are now a target.,1
The republicans got hijacked by the tea party crazies and the democrats have swung to their extreme as well. Until people pull their heads out of their backsided things won't get back to the middle. Until then. Let it burn.,1
"Why doesn't he just give up this primeministership and do what he is fitted for ... become another useless UN Ambassador, travelling the world at other people's expense and making stupid pontifical comments.",1
Oh Puhleaze. Bernier is a Randian fruitcake surrounded by socially regressive and socially amoral cons who couldn't be trusted to managed a Macs Milk store.  You were never a Liberal.,0
"Yeah, Train, that's really not true. Some, sure. Maybe even a majority, but not ""every,"" not by a damn sight.",1
This is absurd...the WES line already runs to Beaverton transit center and it's a very short walk/bike/roll.  Run that bad boy on the weekends to fill the need.  Throw in a shuttle to Bridgeport for anyone not in a position to walk...,0
"Hmm he had an electric fence, he had metal doors, I'm sure he also had an alarm system that went along with the 35 security cameras.  He had 24/7 security.  They broke in using a stolen vehicle to break down the fence, and smash the metal door in.",0
"Go into your fridge and take note of the items with the symbol COR, U, MK and a variety of others. The proportion marked that way is generally quite high and most disturbingly, is a service paid by the consumer regardless of religious association. Someone or ""thing' is allowed to ""pick your pocket"".",0
This is a stupid stunt and an abuse of power disrupting citizens going about their business.,1
Is this the beginning of professional athletes destroying the games they play?,0
I just learned that the tiny State of Israel has sent an emergency aid team to flood ravaged Texas......what has Trudeau done to help?,0
"Let me cut to the chase! Trump is the most vile, ignorant, immoral, racist, misogynist, sorry excuse for a human to ever occupy the White House! And anyone who calls themselves a Christian, who continues to support and admire this cretin; is even more vile and disgusting! Why? Because you can stand back, watch and listen to Trump who contradicts himself daily if not in the same sentence, and correctly conclude he is a vulgar, lying, narcissistic nut job! Yet such people continue to excuse his disgusting comments and unhinged behavior which is on display every time Trump is on TV! The hypocrisy is mind blowing! The ranks of the Nones will continue to grow exponentially in response to this mindless worship of the Pussy Grabber in Chief!",1
"A couple of months ago I suggested that Morneau is that dumb kid who sits in the front row of your class, who after he attempts to answer a couple of questions makes you begin to look the other way for someone else. I noticed today that Gomer has acknowledged the same when he directed reporters to ask him questions they were attempting to ask of Morneau. Things are bad when a script monkey has to answer for a Finance Minister.",1
"Naw, it's better if they take homeless haters  like you.",0
"I hear so much cheap talk about destroying ISIS, yet I wonder how many truly have the stomach for that.  You see, to totally destroy ISIS, we would need to kill not only the ISIS , but their entire living DNA or they will persist.  In simple terms this means we would need to be more brutal than they are.  I do not think we are ready for that yet, but we are getting there.",1
"Saul,
I do remember the Venetie case, it went all the way to the Supreme Court. 
How will the recent federal land trust by tribes be ruled ?  Will that land now qualify as ""Indian Country""? 
Metlakata's status is a federally recognized reservation but Alaska is a public law 280 state so there are questions over if/how Met falls under PL.280.  Know any case law on this ?
They have their own tribal code of laws, tribal court and tribal police. For r ""serious"" crimes, AST and State Court applies but it may be through agreements. Not sure
The FBI can investigate there if requested.
As far as cruise ship passengers wanting to gamble in Met, the passengers seem to prefer the larger and more expansive casinos on board ship. Cruise ship passengers are now starting to take tours there. Allen Marine was running a ship over there and back along with a few ""uncruise"" ships. Non-cruise visitors are show more interest but there is limited transportation (State ferry cuts) and limited accommodations.",0
""" Republicans r sick puppies"".
Right on t-boss!  How many of these ""sick puppies"" took campaign money from Weinstein?  More than Obama and H. Clinton?  How many Republicans had their pictures taken with this sick turd?",1
"Concealed carry for Congress members.......no way !
Just consider how unhinged most of them are, bad idea !",0
"""Can the next person that refers to Islamophobia as being racist please identify what ""race"" is being denigrated.""

LOL 'Yup, I'm a hatefilled individual who despises people based on their religion. But don't you dare call me a racist!""",1
"After 25 years of rainbow-rot, from all of the political parties... with the apartheid era before that, the same oligarchs and moguls are pulling the political strings, all the strings! - I am not only numb to the rot, I am completely opposed to all things political, government and Corporate. You can paint and label the rot any way you like but it's the same the world over, Trump, Zuma, May, Modi and Macron, they are all rotten puppets for a Mafia of Bankers. F*** voting & F*** taxes and viva Bitcoin!",1
I could easily see these clowns swooping in to arrest all the red team members lol.,0
"Might have made a mistake with Maitlin’s former job.  I checked and he was formely in charge of the Sheraton Hawaii bowl and not part of HTA.  And for those who still have hate for JJ or Miano, Hawaii has NO other option as there is no way any half decent, formerly successful head coach at the Div1A or NFL level will ever take the UH coaching position without a $5-10 million GUARANTEE payout even if he loses all games or is fired after one season.  I bet if UH offers Nick Saban garans $10 million to coach next season UH he would take it cause he could care less if he fails at UH cause he has health problems and would love to retire after getting fired early then spend that time with family and end his high stress work.  From watching Alabama games he is already delegating the on field yelling to his assistant coaches.  UH football is OUT OF OPTIONS except one.  And if that fails UH should end its athletics program and focus only on academics which Allie would agree.",0
"Another fearmongering piece of hate propaganda in service to the arms industry.  Great work, Globe!",0
